,cp,kp,vp,wp
2020,0.0,1.0,1.0,0.3654135338345865
2019,0.5,1.5,0.6666666666666666,0.24360902255639102
2018,0.5,1.5,0.4444444444444444,0.162406015037594
2017,0.5,1.5,0.2962962962962963,0.10827067669172934
2016,0.5,1.5,0.19753086419753085,0.07218045112781955
2015,0.5,1.5,0.1316872427983539,0.0481203007518797
